HouseID,City/Province,Location,Latitude,Longitude,Project,Property Type,Storeys,Bedrooms,Bathrooms,Floor Area,Land Area,Price,Description
432,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",15.468244,120.9764138,Camella Nueva Ecija,House and Lot,2,2,1,40.0,63.0,4393000.0,"RFO 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Criselle 63sqm"
433,Zamboanga,"Zambowood Rd. Boalan, Zamboanga",6.9483885,122.1148889,Futura Homes Zamboanga,Townhouse,0,2,1,40.3,50.4,2450200.0,Futura Homes Zamboanga | Amber 2BR Townhouse Inner Unit for Sale in Zamboanga City | Futura by Filinvest
434,Carcar,"Perrelos, Carcar",10.1143434,123.6747667,,House and Lot,0,3,3,442.0,283.0,11000000.0,For sale Beautiful House and Lot in Carcar! Spacious and Overlooking
435,Cainta,"San Isidro, Cainta",14.6092561,121.1106377,,Other,0,4,3,255.0,187.0,14700000.0,"Modern Asian Industrial House with Garden Space, Roof Deck"
436,Plaridel,"Bintog, Plaridel",14.9027084,120.8890133,"Sapphire Homes, Brgy. San Jose/Bintog, Plaridel, Bulacan - Retail",Other,0,0,0,144.0,105.0,3312600.0,"L-R-1-33- Acquired Property for Sale in Lot 1, Block 2, corner of Road Lot 4 and Road Lot 7, Sapphire Homes, Brgy. San Jose/Bintog, Plaridel, Bulacan - Retail"
437,Tarlac,"Camella Tarlac Access Rd. Maliwalo, Tarlac",15.4777848,120.6140745,Camella Tarlac,Townhouse,2,2,1,36.0,98.0,4540000.0,2BR 2-Storey Townhouse for Sale in Tarlac City at Camella Tarlac | Arielle EU 98sqm
438,San Jose,"President Jose P. Laurel Hwy Banaybanay Ii, San Jose",13.9184235,121.1054948,PHINMA Maayo San Jose,Townhouse,0,2,2,48.3,50.0,4062500.0,"2BR Townhouse for Sale in San Jose, Batangas at PHINMA Maayo San Jose | Rosario Model, Appliance Bundle Promo!"
439,Imus,"Carsadang Bago I, Imus",14.4289186,120.928888,"PTC Suncrest in Imus, Cavite",House and Lot,0,3,2,75.0,80.0,5234791.0,"BIG DISCOUNT (up to 500k)! 3BR Single Attached House and Lot for Sale at PTC Suncrest in Imus, Cavite | Rosanna Model"
440,Mexico,"Divisoria, Mexico",14.4321626,121.0452418,"The Lakeshore, Alcove",Townhouse,0,2,2,48.0,45.5,2530000.0,"2BR Townhouse for Sale in Mexico, Pampanga | Flavorscapes at The Lakeshore, Alcove"
441,Trece Martires,"The Wood Estates, Brgy. Hugo Perez, Trece Martires",14.3100648,120.8721289,Futura by Filinvest,Other,0,1,1,27.2,69.0,2149700.0,"New Leaf | Bernice 1BR SA House for Sale in Trece Martires, Cavite | Futura by Filinvest"
442,San Jose,"President Jose P. Laurel Hwy Banaybanay Ii, San Jose",13.9184235,121.1054948,PHINMA Maayo San Jose,Townhouse,0,2,2,48.3,50.0,4062500.0,"For Sale 2BR Townhouse in San Jose, Batangas at PHINMA Maayo San Jose | Rosario Model, Appliance Bundle Promo!"
443,Dasmarinas,"Governor'S Dr, 4114 Dasmarinas, Philippines Paliparan Iii, Dasmarinas",14.3019569,120.88374,"Praverde Residences in Dasmariñas, Cavite",House and Lot,0,5,3,166.0,154.0,14986000.0,"2 Storey, 5 Bedrooms, House & Lot @ Praverde Residences in Dasmariñas, Cavite"
444,Capas,"Talaga, Capas",15.38374425,120.5870832,"Side by Side for Sale in Capas, Tarlac at Ajoya Capas",House and Lot,0,0,2,66.0,80.0,3060000.0,"Duplex House and Lot Side by Side for Sale in Capas, Tarlac at Ajoya Capas"
445,Mabalacat,"Sapang Biabas, Mabalacat",15.1987752,120.6026101,Talanai Homes,House and Lot,2,2,1,50.0,65.0,2224500.0,"2-Bedroom 2-Storey House and Lot for Sale in Mabalacat, Pampanga at Talanai Homes | APITONG"
446,Quezon City,"#91 ( Lot 16 Block Lch-1 ) Waling-Waling Street Roxas District Quezon City Metro Manila Roxas, Quezon City",14.6959857,121.057394,Quezon City Metro Manila,House and Lot,0,0,0,167.5,200.0,5000000.0,[05365-N-315] House & Lot for sale in Roxas District at Quezon City Metro Manila
447,Mabalacat,"Santa Maria, Mabalacat",15.2270079,120.5922007,Futura by Filinvest,Other,0,3,0,53.6,88.0,3825700.0,"Claremont Phase 4 | Opal 3BR Single Attached House for Sale in Mabalacat, Pampanga | Futura by Filinvest"
448,Las Pinas,"Metrocor-B Homes, Talon 5, Las Pinas City Talon Singko, Las Pinas",14.4235191,120.9966979,,Other,0,4,3,143.0,80.0,8897000.0,The Elements Brand New Town House in Las Pinas City
449,San Juan,"San Juan - Laiya Rd. Calubcub Ii, San Juan",13.7425627,121.4257242,Seafront Residences,House and Lot,0,3,2,100.0,200.0,12099000.0,"3BR Beach House and Lot for Sale in San Juan, Batangas at Seafront Residences"
450,Concepcion,"Alfonso, Concepcion",15.3290862,120.6394315,"Montecelio Residences Concepcion, Tarlac",Single Detached,1,3,2,107.6,100.0,3340000.0,"For Sale 3 BR Single Detached House at Montecelio Residences Concepcion, Tarlac"
451,Paranaque,"B.F. Homes, Paranaque",14.4462789,121.0274109,BF homes Parañaque,House and Lot,0,4,6,330.0,280.0,35000000.0,House and lot BF homes Parañaque
452,San Juan,"San Juan - Laiya Rd. Calubcub Ii, San Juan",13.7425627,121.4257242,"Seafront Residences at Php 250,815 monthly amortization",House and Lot,0,3,2,100.0,200.0,18771000.0,"Ready For You: 3BR Beach House and Lot for Sale in San Juan, Batangas at Seafront Residences at Php 250,815 monthly amortization"
453,Tarlac,"Camella Tarlac Access Rd. Maliwalo, Tarlac",15.4777848,120.6140745,Camella Tarlac,House and Lot,2,5,3,100.0,148.0,9683000.0,RFO 5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ella 148sqm
454,San Juan,"San Juan - Laiya Rd. Calubcub Ii, San Juan",13.7425627,121.4257242,Seafront Residences,House and Lot,0,4,3,150.0,200.0,15450000.0,"4BR Beach House and Lot for Sale in San Juan, Batangas at Seafront Residences"
455,Tarlac,"Camella Tarlac Access Rd. Maliwalo, Tarlac",15.4777848,120.6140745,Camella Tarlac,Townhouse,2,2,1,36.0,205.0,7408000.0,RFO 2BR 2-Storey Townhouse for Sale in Tarlac City at Camella Tarlac | Arielle EU 205sqm
456,Davao,"Tugbok, Davao",7.1035383,125.4948467,PHINMA Maayo Tugbok,House and Lot,0,3,3,74.3,80.0,8500000.0,"House and Lot with 3 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Tanglaw Model"
